Title,Price,Material A,A Percent,Material B,B Percent
ASOS DESIGN Curve chunky oversized v neck jumper in brushed yarn in grey,£32.99,Polyester,0.68,Nylon,0.23
JDY roll neck longline jumper in light brown,£32.99,Viscose,0.63,Polyester,0.33
Native Youth whipstich wide arm cropped jumper in blue and orange,£32.99,Polyester,0.7,Nylon,0.21
Hollister logo cardigan in white with navy tipping,£32.99,Cotton,0.6,Nylon,0.2
ASOS DESIGN crew neck boxy jumper with seam front in lime,£32.99,Cotton,0.6,Acrylic,0.4
ASOS DESIGN chunky jumper in dogtooth pattern in green,£32.99,Polyester,0.85,Acrylic,0.15
Pimkie knitted v neck jumper in blue,£32.99,Viscose,0.5,Polyester,0.28
Mango half zip wide stripe jumper in navy & white,£32.99,Viscose,0.5,Polyester,0.28
Tommy Jeans badge logo cable knit cardigan in white,£32.99,Acrylic,0.5,Polyester,0.5
Wednesday's Girl spacedye fluffy v-neck jumper in rainbow ombre,£32.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN crop zip cardigan with cable detail in navy,£32.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN jumper with volume sleeve and textured stitch in red,£32.99,Acrylic,0.8,Polyester,0.2
ASOS DESIGN super crop cardigan in sheer yarn in grey,£32.99,Acrylic,0.8,Polyester,0.2
ASOS EDITION oversized crew neck knitted jumper in buttermilk yellow,£32.99,Polyester,0.68,Nylon,0.23
Barbour Burne turtle neck cape jumper in dark green,£25.99,Wool,0.8,Polyamide,0.2
AllSaints Britt chunky knit jumper in black stripe,£25.99,Alpaca,0.69,Nylon,0.31
Mango quarter zip striped jumper in white,£32.99,Viscose,0.5,Polyester,0.28
Cotton:On relaxed jumper in green marl,£32.99,Cotton,1.0,NaN,0.0
JDY Tall seam detail high neck jumper in camel,£25.99,Polyester,0.78,Viscose,0.22
Only oversized jacquard jumper in strawberry and floral print,£25.99,Cotton,0.5,Polyester,0.5
Cotton:On Maternity v-neck jumper in grey marle,£25.99,Acrylic,0.57,Polyester,0.35
& Other Stories wrap cardigan in dark green,£25.99,Polyester,0.52,Acrylic,0.38
ASOS DESIGN jumper with plunge sweetheart neckline in black,£25.99,Viscose,0.7,Polyamide,0.3
Reclaimed Vintage knitted zip through cardigan in colour block,£25.99,Acrylic,1.0,NaN,0.0
River Island v-neck jumper in beige,£25.99,Polyester,0.66,Acrylic,0.27
ASOS DESIGN Maternity boxy crew neck jumper in black,£25.99,Acrylic,0.55,Polyamide,0.2
New Look ladder stitch jumper in off white,£25.99,Cotton,0.61,Polyester,0.21
Pimkie wool mix longline v neck jumper in taupe,£25.99,Acrylic,0.6,Polyester,0.31
Vero Moda Petite premium oversized longline jumper with seam detail in cream,£25.99,Polyester,0.5,Acrylic,0.45
Vila knitted jumper with embellished trim detail in black ,£25.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN jumper in mixed yarn stripe in blue and grey,£25.99,Polyester,0.53,Acrylic,0.4
Cotton:On fur trim cardigan in pink ,£25.99,Viscose,0.8,Polyamide,0.2
Topshop knitted stripe oversized jumper in mono,£25.99,Acrylic,0.89,Polyester,0.1
New Look boxy jumper in camel,£25.99,Polyester,0.56,Viscose,0.42
ASOS DESIGN knitted top with knot front and cut out detail in red,£25.99,Viscose,0.67,Polyamide,0.33
Topshop knitted acid wash cropped jumper in blue,£25.99,Cotton,1.0,NaN,0.0
ASOS DESIGN Petite chunky jumper with high neck in animal stripe pattern ,£25.99,Acrylic,0.53,Polyester,0.47
Topshop knitted tassel colour block jumper in multi,£25.99,Polyester,0.84,Acrylic,0.15
& Other Stories mock neck jumper in brown exclusive to ASOS,£25.99,Polyester,0.52,Acrylic,0.38
COLLUSION pointelle tie front knitted cardigan in charcoal grey,£25.99,Acrylic,0.91,Nylon,0.09
Stradivarius stripe knit cardigan ,£25.99,Cotton,1.0,NaN,0.0
Reclaimed Vintage unisex flower jacquard jumper,£25.99,Acrylic,1.0,NaN,0.0
Miss Selfridge fluffy V neck slouchy crop jumper in oatmeal,£25.99,Polyester,0.49,Acrylic,0.42
Monki high neck knitted jumper in landscape jacquard,£25.99,Polyester,0.52,Acrylic,0.41
Topshop knitted fluffy rib crop jumper in light grey,£25.99,Polyester,0.7,Nylon,0.21
ASOS DESIGN Curve knitted top with lace up detail in cream,£25.99,Polyester,0.89,Nylon,0.11
Topshop knitted premium cable ovoid sleeve jumper in cream,£25.99,Polyester,1.0,NaN,0.0
Glamorous wrap front jumper in black knit,£25.99,Acrylic,1.0,NaN,0.0
Monki long sleeve midi cardigan in dark green,£25.99,Polyester,1.0,NaN,0.0
Kaiia oversized plaited jumper in charcoal,£25.99,Acrylic,0.52,Polyester,0.28
ASOS DESIGN wool blend oversized jumper with crew neck in dark green,£25.99,Acrylic,0.58,Polyester,0.27
Mango chunky knitted cardigan with faux pearls in cream,£25.99,Acrylic,0.85,Polyamide,0.1
Reclaimed Vintage off shoulder plated rib knit top,£25.99,Acrylic,1.0,NaN,0.0
Under Armour Tech Twist half zip training top in red,£25.99,Polyester,1.0,NaN,0.0
Pieces cable knit soft knit jumper in cream,£25.99,Polyester,0.96,Wool,0.04
Threadbare Petite Vanessa sweetheart neckline ribbed top in black,£25.99,Viscose,0.8,Nylon,0.2
ASOS DESIGN knitted top with cut out and knot front detail in green metallic yarn,£25.99,Viscose,0.68,Polyamide,0.32
ASOS DESIGN textured split front cardigan in black,£25.99,Polyester,0.98,Elastane,0.02
Damson Madder rose striped wool blend jumper in lilac and chocolate,£25.99,Polyester,0.67,Nylon,0.24
Tommy Jeans oversized grunge jumper in black,£25.99,Acrylic,0.5,Cotton,0.5
Calvin Klein Jeans blown up loose sweater in black,£25.99,Cotton,1.0,NaN,0.0
Weekday Nadina fine knit jumper with scoop neck in grey,£25.99,Polyester,0.52,Viscose,0.48
ASOS DESIGN crop cardigan in fluffy yarn in cream,£25.99,Acrylic,0.53,Polyamide,0.34
ASOS DESIGN sheer knitted asymmetric top in metallic yarn in black,£25.99,Viscose,0.75,Polyester,0.25
Miss Selfridge knit oversized longline hoody in charcoal marl ,£25.99,Acrylic,0.64,Polyester,0.35
Mango fluffy jumper in camel,£25.99,Polyamide,1.0,NaN,0.0
ASOS DESIGN chunky rib jumper with high neck in orange,£25.99,Polyester,0.74,Acrylic,0.17
Pieces wrap jumper with tie in grey,£25.99,Polyester,0.62,Acrylic,0.22
Wednesday's Girl half zip cosy jumper in grey,£25.99,Acrylic,1.0,NaN,0.0
Selected Femme chunky stripe knitted jumper in mono ,£25.99,Cotton,0.6,Acrylic,0.4
Miss Selfridge heritage chunky cable jumper in grey ,£25.99,Acrylic,0.64,Polyester,0.36
Miss Selfridge rib knit open back funnel top in pink,£25.99,Viscose,0.82,Nylon,0.18
& Other Stories crew neck sweater in greyish brown,£25.99,Cotton,0.52,Polyamide,0.38
Vero Moda roll neck jumper in camel,£25.99,Polyester,0.94,Elastane,0.03
Vero Moda v-neck jumper in black melange,£25.99,Polyester,0.94,Elastane,0.03
Vero Moda high neck oversized stripe jumper in cream and brown,£25.99,Polyester,0.67,Acrylic,0.24
Weekday Fiona chunky knit jumper in mole melange,£25.99,Polyamide,0.48,Polyester,0.42
Weekday Fiona chunky knit jumper in grey melange,£25.99,Polyamide,0.48,Polyester,0.42
& Other Stories alpaca wool relaxed jumper in beige melange,£25.99,Wool,0.52,Polyamide,0.45
Threadbare Petite Etta chunky roll neck jumper in stone,£16.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN sheer longline cardigan with button front detail in black,£16.00,Viscose,0.75,Polyester,0.25
Monki crew neck textured knit sweater in beige melange,£16.00,Polyester,0.97,Wool,0.03
Tommy Jeans essential flag logo turtleneck jumper in navy,£16.00,Cotton,0.53,Viscose,0.4
Annorlunda knitted asymmetric top with flare sleeves in olive stripe ombre co-ord,£16.00,Acrylic,0.48,Polyester,0.38
Miss Selfridge funday logo knitted tipped jumper in grey marl,£16.00,Acrylic,1.0,NaN,0.0
Only v neck ribbed jumper in pale pink marl,£16.00,Polyester,0.55,Acrylic,0.38
Only v neck jumper in blue marl,£16.00,Acrylic,0.74,Polyester,0.24
ASOS DESIGN jumper in tinsel yarn in black,£16.00,Polyester,0.82,Metallised,0.18
& Other Stories knitted jumper in beige and black stripe,£16.00,Wool,1.0,NaN,0.0
Miss Selfridge boucle textured slouchy knit jumper co-ord in beige ,£16.00,Cotton,1.0,NaN,0.0
ASOS DESIGN distressed oversized jumper with open cable stitch in grey,£16.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN Petite fluffy rib jumper with crew neck in oatmeal ,£16.00,Acrylic,0.5,Polyester,0.5
River Island crew neck knitted top in dark grey,£16.00,Nylon,0.7,Viscose,0.3
Miss Selfridge rib chunky cowl neck jumper co-ord in black ,£16.00,Polyester,0.54,Acrylic,0.4
River Island oversized cosy cardigan in beige,£16.00,Polyester,0.83,Acrylic,0.07
Threadbare Petite Garnet cable knit longline cardigan in lilac,£16.00,Acrylic,0.65,Polyester,0.35
NA-KD ribbed high neck jumper in brown,£16.00,Acrylic,0.8,Polyester,0.2
Pull&Bear oversized knitted jumper in charcoal,£16.00,Polyester,0.6,Acrylic,0.2
Dickies wilderville rib cardigan in black surplus utility pack exclusive to asos,£16.00,Cotton,1.0,NaN,0.0
Vero Moda Curve button through cardigan in black,£16.00,Cotton,0.7,Polyester,0.3
Only round neck jumper in multi ombre,£16.00,Acrylic,0.74,Polyester,0.19
Miss Selfridge stripe knit oversized longline hoody ,£16.00,Acrylic,0.64,Polyester,0.35
ASOS DESIGN boxy wide crop button front cardigan in charcoal,£16.00,Polyester,0.6,Acrylic,0.4
Threadbare Petite Ski roll neck jumper in pink argyle,£16.00,Acrylic,1.0,NaN,0.0
Daisy Street off shoulder fitted jumper in purple knit,£16.00,Polyester,1.0,NaN,0.0
ASOS DESIGN high v neck jumper in textured yarn in grey,£16.00,Acrylic,0.6,Polyester,0.4
Daisy Street ladder overlay knit jumper,£16.00,Polyester,1.0,NaN,0.0
Weekday Lyla mock neck jumper in black ,£16.00,Polyester,0.5,Cotton,0.45
Topshop knitted high neck drop shoulder jumper with wool in navy,£16.00,Acrylic,0.81,Wool,0.19
& Other Stories knitted  jumper in white and blue stripe,£16.00,Cotton,0.93,Polyamide,0.06
Pieces roll neck jumper in black,£16.00,Polyester,0.82,Acrylic,0.15
River Island jumper in beige,£16.00,Polyester,0.81,Acrylic,0.16
River Island jumper in grey,£16.00,Polyester,0.81,Acrylic,0.16
Neon Rose cherry applique pointelle cardigan in navy and red,£16.00,Polyester,1.0,NaN,0.0
Hollister crew neck knitted jumper in black,£16.00,Cotton,1.0,NaN,0.0
Daisy Street oversized knit jumper with flower motif and stripe sleeves,£16.00,Acrylic,0.5,Nylon,0.3
Neon Rose garden rabbit intarsia collar detail cardigan in cream ,£16.00,Acrylic,0.73,Nylon,0.24
Hollister slouchy half zip jumper in oatmeal ,£16.00,Cotton,0.6,Acrylic,0.4
ASOS DESIGN Maternity crew neck ribbed jumper in black,£16.00,Viscose,0.52,Polyester,0.28
Miss Selfridge funnel neck tassle hem jumper in cream,£16.00,Acrylic,0.68,Polyester,0.31
Topshop knitted zip through fluffy cardi with pockets in ivory,£16.00,Acrylic,0.56,Polyester,0.26
River Island crew neck fine knit top in navy stripe,£16.00,Viscose,0.7,Nylon,0.3
Reclaimed Vintage zip up cropped cable cardi in khaki,£16.00,Cotton,1.0,NaN,0.0
ASOS DESIGN knitted shrug cardigan in olive green,£16.00,Acrylic,0.5,Cotton,0.5
Object knitted zip neck jumper in black mono stripe,£16.00,Viscose,0.7,Polyester,0.3
ASOS DESIGN Maternity Christmas jumper with placement fairisle pattern in green,£16.00,Acrylic,1.0,NaN,0.0
Only balloon sleeve jumper in pastel stripe,£16.00,Acrylic,0.8,Polyester,0.2
Threadbare Ruby cardigan in black and white stripe,£16.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN Curve high neck jumper in colour block in black and camel,£16.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN high neck jumper in rib in stripe ,£16.00,Polyester,0.88,Polyamide,0.12
Topshop knitted premium chunky wide rib jumper with wool in mono,£16.00,Acrylic,0.8,Wool,0.2
