Title,Price,Material A,A Percent,Material B,B Percent
Topshop knitted fine gauge collar cardigan in black,£40.00,Viscose,0.73,Nylon,0.27
Annorlunda eyelash knit button through jumper in steel grey,£40.00,Polyamide,1.0,NaN,0.0
Miss Selfridge fluffy V neck slouchy crop jumper in cosmetic pink ,£40.00,Polyester,0.49,Acrylic,0.42
Bershka open knit bell sleeve jumper in ecru,£40.00,Polyester,1.0,NaN,0.0
Native Youth high zip neck longline jumper in dark forest green ,£40.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN jumper in multi stripe,£40.00,Acrylic,0.54,Polyester,0.46
Simply Be ribbed v-neck cardigan in black,£40.00,Acrylic,0.68,Polyester,0.29
ASOS DESIGN boxy edge to edge cardigan in camel,£40.00,Polyester,0.48,Nylon,0.38
& Other Stories alpaca wool relaxed jumper in blue melange,£40.00,Alpaca,0.52,Polyamide,0.45
Yours crew neck knitted jumper in black,£40.00,Acrylic,1.0,NaN,0.0
Weekday Lolo off shoulder knitted jumper in beige melange,£40.00,Polyamide,0.48,Polyester,0.42
Annorlunda curved hem ombre cropped cardigan in brown and lime,£40.00,Acrylic,0.57,Polyester,0.29
ASOS DESIGN Curve chunky stitch cardigan in grey,£40.00,Polyester,0.58,Acrylic,0.42
COLLUSION open stitch slash neck jumper with asymmetric hem in black & white stripe,£40.00,Acrylic,0.8,Polyester,0.2
Weekday Ivy knitted jumper with split side detail in red melange,£40.00,Polyester,0.56,Polyamide,0.27
Vila striped roll neck jumper in sage green,£40.00,Acrylic,1.0,NaN,0.0
Vila Curve cable knit high neck jumper in red,£40.00,Acrylic,1.0,NaN,0.0
& Other Stories alpaca and wool blend cardigan with button front in soft white,£40.00,Alpaca,0.52,Polyamide,0.45
Vero Moda knitted jumper in dark green ,£40.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN knitted top with sheer asymmetric detail in black,£40.00,Acrylic,0.77,Viscose,0.17
Pieces Curve exclusive high neck fluffy jumper in baby blue,£40.00,Polyester,1.0,NaN,0.0
Selected Femme knitted jumper in cream ,£40.00,Cotton,0.6,Acrylic,0.4
& Other Stories wool roll neck oversized jumper in dark green,£40.00,Wool,0.6,Polyamide,0.27
ASOS DESIGN Curve fluffy rib jumper with crew neck in oatmeal ,£40.00,Acrylic,0.5,Polyester,0.5
ASOS DESIGN Maternity chunky v neck jumper in cream,£40.00,Acrylic,0.5,Polyester,0.5
Urban Revivo cable knitted jumper with frill collar detail in beige,£40.00,Acrylic,0.63,Polyester,0.19
Monki fluffy knit shrunken long sleeve sweater in black mono floral jacquard,£40.00,Polyester,1.0,NaN,0.0
ASOS DESIGN Maternity off shoulder top in rib in cream,£40.00,Viscose,0.5,Polyester,0.29
ASOS DESIGN zip through cardigan with collar in textured yarn in pink,£40.00,Polyester,0.5,Acrylic,0.21
ASOS DESIGN longline boyfriend cardigan in textured stitch in green,£40.00,Acrylic,0.77,Polyester,0.18
Pimkie wool mix longline v neck jumper in black,£40.00,Acrylic,0.6,Polyester,0.31
ASOS EDITION cable jumper with tassels in cream,£40.00,Polyester,0.73,Acrylic,0.19
& Other Stories stripe knitted jumper in off white and black,£40.00,Viscose,0.66,Polyester,0.25
River Island maxi duster cardigan in black and white monochrome,£40.00,Viscose,0.52,Polyester,0.29
Calvin Klein Jeans badge roll neck sweater in white,£40.00,Lyocell,1.0,NaN,0.0
Stradivarius soft touch cardigan in taupe ,£40.00,Polyester,0.72,Viscose,0.22
Weekday Anessa semi sheer jumper in black,£40.00,Cotton,0.84,Polyamide,0.16
In The Style Plus exclusive knitted wrap detail jumper in red,£40.00,Acrylic,1.0,NaN,0.0
NA-KD round neck knitted jumper in grey,£40.00,Acrylic,0.5,Cotton,0.5
Pieces exclusive fluffy flared sleeve jumper in pink,£40.00,Polyester,1.0,NaN,0.0
Only textured crew neck jumper in red,£18.00,Acrylic,1.0,NaN,0.0
NA-KD x Hanna Schonberg oversized cable knit sweater in off white,£40.00,Acrylic,0.5,Polyester,0.5
ASOS DESIGN cropped jumper in mini cable stitch in orange,£18.00,Acrylic,0.4,Nylon,0.32
Topshop knitted slouchy jumper in green and lilac,£18.00,Polyester,0.86,Acrylic,0.14
In The Style 2 in 1 jumper and shirt in black,£40.00,Acrylic,0.7,Polyester,0.27
ASOS DESIGN knitted shrug cardigan in baby pink,£18.00,Polyester,1.0,NaN,0.0
Topshop knitted micro cardi in oat,£18.00,Polyester,0.75,Nylon,0.18
In The Style longline belted cardigan in mono stripe,£18.00,Acrylic,1.0,NaN,0.0
4th & Reckless front split roll neck jumper in khaki,£18.00,Polyester,0.65,Viscose,0.22
& Other Stories wool blend jumper in white and green stripe,£18.00,Mohair,0.36,Wool,0.36
Vila soft wrap front jumper in pink,£18.00,Polyester,1.0,NaN,0.0
Topshop knitted sweetheart neckline top in black,£18.00,Viscose,0.47,Polyester,0.33
Bershka chunky roll neck dogtooth knitted jumper in pink,£18.00,Acrylic,0.79,Polyester,0.21
ASOS DESIGN cardigan with double ended zip and collar in grey ,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Ski roll neck jumper in lilac,£18.00,Cotton,0.6,Polyester,0.4
Lacoste crew neck jumper in grey,£18.00,Polyester,1.0,NaN,0.0
Bershka cable knit cut out detail jumper in ecru,£18.00,Polyester,0.88,Polyamide,0.12
ASOS DESIGN Maternity super soft wrap top in navy,£18.00,Polyester,0.56,Cotton,0.44
Stradivarius knitted cropped jumper in black,£18.00,Viscose,0.53,Polyester,0.3
Simmi knitted longline cardigan co-ord in denim blue,£18.00,Viscose,0.7,Elastane,0.3
ASOS DESIGN laddered knit shrug cardigan in black,£18.00,Acrylic,0.75,Nylon,0.25
Brave Soul wicket v neck jumper in white,£18.00,Acrylic,0.72,Polyamide,0.26
& Other Stories ribbed polo collar knit in beige,£18.00,Viscose,0.83,Polyamide,0.15
Object Tall long sleeve roll neck knitted top in oatmeal,£18.00,Viscose,0.5,Nylon,0.27
Topshop knitted tape yarn stitchy oversized jumper in ivory,£18.00,Polyester,0.6,Cotton,0.4
River Island cable knit zip detail jumper in blue,£18.00,Acrylic,0.84,Nylon,0.1
Topshop knitted colourful cable stitchy jumper in multi,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Ski wrap cardigan in blue,£18.00,Acrylic,1.0,NaN,0.0
Topshop knitted zip collar rib jumper in brown,£18.00,Polyester,1.0,NaN,0.0
Polo Ralph Lauren long sleeve jersey roll neck jumper in orange,£18.00,Lyocell,0.57,Cotton,0.38
Vero Moda floral swirl oversized jumper in multi ,£18.00,Polyester,0.52,Acrylic,0.41
ASOS DESIGN Petite jumper in fluffy yarn with distressed stitch in lime,£18.00,Acrylic,0.78,Polyester,0.22
Miss Selfridge zip front crop cardigan in black ,£18.00,Polyester,0.57,Acrylic,0.41
Miss Selfridge stitch yarn edge to edge cardigan in oatmeal ,£18.00,Polyester,0.57,Acrylic,0.43
ASOS DESIGN jumper with cut out ruched back detail in red,£18.00,Viscose,0.51,Polyester,0.28
Vero Moda volume sleeve jumper in beige,£18.00,Viscose,0.5,Polyester,0.28
Miss Selfridge fitted lash jumper in black ,£18.00,Nylon,0.65,Acrylic,0.35
Six Stories bridesmaid statement sweatshirt in champagne ,£18.00,Polyester,0.55,Cotton,0.45
Vero Moda Tall oversized check jumper in mono,£18.00,Viscose,0.5,Polyester,0.28
Cotton:On Kai button through long sleeved cardigan in multi ,£18.00,Viscose,0.8,Polyamide,0.2
Pieces exclusive crew neck contrast knit in white dalmation print,£18.00,Acrylic,0.76,Nylon,0.21
Object wrap front knitted cardigan in blue,£18.00,Viscose,0.5,Nylon,0.27
Bershka frill detail tie up jumper in cream,£18.00,Acrylic,0.65,Polyester,0.27
ASOS DESIGN knitted top with lattice front knitted top in cream,£18.00,Viscose,0.68,Polyamide,0.32
Wednesday's Girl Curve oversized roll neck jumper in lilac rib knit,£18.00,Acrylic,1.0,NaN,0.0
ASYOU zip up bardot knitted top in pink,£18.00,Viscose,0.68,Polyamide,0.32
Mango polo collar button up top in orange,£18.00,Cotton,0.97,Elastane,0.03
Threadbare Ski fluffy knit jumper with zip in blue,£18.00,Acrylic,1.0,NaN,0.0
Hollister oversized striped jumper in blue and white,£18.00,Cotton,0.6,Polyester,0.4
ASYOU sheer hook and eye knitted cardigan in neutral,£18.00,Acrylic,1.0,NaN,0.0
Nobody's Child balloon sleeve jacquard jumper in baby blue heart,£18.00,Viscose,0.49,Polyester,0.3
Pretty Lavish Curve cut-out knit high neck top in soft brown,£18.00,Viscose,0.52,Polyester,0.31
Noisy May jumper ribbed open knit sleeves in lilac,£18.00,Viscose,0.52,Polyester,0.28
ASOS DESIGN jumper with distressed ladder detail in loose stitch in lilac,£18.00,Acrylic,0.8,Polyester,0.2
Noisy May lightweight longline cardigan in grey,£18.00,Polyester,0.97,Elastane,0.03
Miss Selfridge rib chunky roll neck jumper in ivory,£18.00,Polyester,0.51,Acrylic,0.43
ASOS DESIGN Curve boyfriend cardigan with button front in charcoal ,£18.00,Polyester,0.48,Nylon,0.4
& Other Stories wrap cardigan in off white,£30.00,Polyester,0.52,Acrylic,0.38
Y.A.S premium chunky longline cardigan with cable knit detail sleeves in brown,£30.00,Cotton,0.6,Acrylic,0.4
Object super soft longline high neck jumper with seam detail in cream,£30.00,Viscose,0.52,Polyester,0.28
Cotton:On Active sherpa sweatshirt in blue abstract swirl print,£30.00,Polyester,1.0,NaN,0.0
Cotton:On loose rib knitted shrug in grey marl,£30.00,Viscose,0.8,Elastane,0.2
Abercrombie & Fitch long sleeve knitted top with sweetheart neckline in blue,£18.00,Viscose,0.83,Nylon,0.16
ASOS DESIGN super soft cardigan in purple marl ,£30.00,Polyester,0.56,Cotton,0.44
Miss Selfridge long line belted cardigan in light grey,£30.00,Polyester,0.51,Acrylic,0.43
ASOS DESIGN Tall open collar rib jumper in brown,£30.00,Polyester,0.51,Acrylic,0.46
River Island hybrid cable knit broderie shirt jumper in cream,£30.00,Cotton,1.0,NaN,0.0
Calvin Klein Jeans split sleeve mock neck jumper in black,£30.00,Other,0.83,Elastane,0.17
ASOS DESIGN Tall jumper with open collar in textured blue stripe,£30.00,Acrylic,1.0,NaN,0.0
Cotton:On ribbed knitted jumper in pink,£30.00,Cotton,1.0,NaN,0.0
Polo Ralph Lauren holiday dressy bear cotton knit jumper in black,£30.00,Cotton,0.95,Wool,0.04
Selected Femme mottled high neck jumper in brown and cream,£30.00,Cotton,0.6,Acrylic,0.4
In The Style exclusive knitted jumper in leopard print,£30.00,Acrylic,0.67,Polyamide,0.3
ASOS DESIGN knitted shrunken cardigan in grey check,£30.00,Acrylic,1.0,NaN,0.0
Weekday Sarah high neck zip through cardigan with jacquard design in grey,£30.00,Viscose,0.56,Polyamide,0.43
ASOS DESIGN crop jumper with cut out back detail in textured stitch in grey,£30.00,Polyester,0.94,Wool,0.04
Only Curve fluffy v neck longline jumper in cream,£30.00,Nylon,0.7,Acrylic,0.3
Edited ombre cable knit jumper in beige,£30.00,Acrylic,0.7,Wool,0.15
River Island wide rib roll neck jumper in lime,£30.00,Cotton,1.0,NaN,0.0
Monki knitted polo sweater in lilac,£30.00,Polyester,1.0,NaN,0.0
Topshop knitted boucle jumper in khaki,£30.00,Acrylic,0.5,Polyester,0.38
Topshop knitted textured cable jumper in lilac,£30.00,Polyester,0.69,Acrylic,0.31
Urban Revivo chunky knitted jumper in dark purple,£30.00,Acrylic,0.57,Polyester,0.18
Miss Selfridge lash sleeveless funnel neck knit top in cream,£30.00,Polyamide,0.66,Acrylic,0.34
JDY crew neck jumper in green,£30.00,Acrylic,0.57,Polyester,0.41
Pull&Bear cropped knit jumper in navy stripe,£30.00,Cotton,1.0,NaN,0.0
ASOS DESIGN knitted shrunken cardigan in grey,£30.00,Acrylic,0.84,Nylon,0.16
Pull&Bear foil long sleeve knitted jumper in silver,£30.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN chunky button through maxi cardigan in cream,£30.00,Acrylic,0.83,Polyamide,0.09
& Other Stories mock neck sweater in off white ,£30.00,Polyester,0.52,Acrylic,0.38
Threadbare Rosemary longline maxi cardigan in chocolate brown,£30.00,Viscose,0.8,Nylon,0.2
Pieces high neck cable knit jumper in bubblegum pink,£30.00,Polyester,0.44,Acrylic,0.36
Mango pointelle high neck jumper in lilac ,£30.00,Acrylic,0.67,Polyester,0.33
Daisy Street boxy chunky jumper in lemon knit,£30.00,Polyester,1.0,NaN,0.0
Free People soft fairisle print jumper in multi,£30.00,Acrylic,0.38,Wool,0.23
Vero Moda Aware premium cable knit cardigan in cream ,£30.00,Polyester,0.52,Acrylic,0.34
Reclaimed Vintage crop twist front long sleeve knitted top in  festival stripe,£30.00,Acrylic,1.0,NaN,0.0
Noisy May fluffy knit cardigan in hot pink,£30.00,Nylon,1.0,NaN,0.0
Reclaimed Vintage sleeveless roll neck in space dye,£30.00,Acrylic,1.0,NaN,0.0
& Other Stories alpaca blend cardigan in beige melange,£30.00,Alpaca,0.52,Polyamide,0.45
Native Youth Plus relaxed jumper with high neck in checkerboard knit,£30.00,Acrylic,1.0,NaN,0.0
Emory Park sleeveless ribbed roll neck jumper in latte,£30.00,Polyester,1.0,NaN,0.0
Noisy May Tall longline cardigan in black,£30.00,Polyester,0.97,Elastane,0.03
Y.A.S cropped fringed jumper in black,£30.00,Acrylic,0.89,Wool,0.08
Kickers Y2K ribbed knitted jumper in tie dye,£30.00,Acrylic,0.55,Cotton,0.45
ASOS DESIGN crew neck boxy jumper with seam front in pink,£30.00,Cotton,0.6,Acrylic,0.4
ASOS DESIGN loopy stitch jumper in red,£30.00,Acrylic,0.91,Polyamide,0.09
Mango high neck jumper in white,£30.00,Polyester,0.78,Polyamide,0.22
Object knitted button through vest in grey,£30.00,Viscose,0.5,Nylon,0.27
Wednesday's Girl boxy black and white stripe jumper with contrast cuffs ,£30.00,Acrylic,1.0,NaN,0.0
Free People cable knit chunky cropped cardigan in grey,£30.00,Cotton,1.0,NaN,0.0
Topshop knitted v neck diamond print jumper in mono,£30.00,Acrylic,0.82,Wool,0.18
Vila v neck jumper with puff sleeved in mottled beige,£30.00,Polyester,0.61,Acrylic,0.33
Y.A.S contrast stitch ribbed jumper in cream and black,£30.00,Polyester,1.0,NaN,0.0
Pieces Tall exclusive high neck fluffy jumper in white,£30.00,Polyester,1.0,NaN,0.0
Miss Selfridge wide stripe crop knit jumper in chocolate stripe ,£30.00,Acrylic,1.0,NaN,0.0
Topshop knitted ladder stitch crew jumper in neutral,£30.00,Acrylic,0.74,Cotton,0.16
Pull&Bear long sleeve funnel neck jumper in camel ,£29.99,Viscose,0.5,Polyester,0.28
ASOS DESIGN jumper with embellished stones and fringe detail in blue,£30.00,Acrylic,0.37,Polyamide,0.32
Stradivarius roll neck knit top in grey ,£29.99,Viscose,0.7,Nylon,0.3
Noisy May Tall high neck jumper in cream,£30.00,Acrylic,1.0,NaN,0.0
Reclaimed Vintage unisex cable hoodie with distressing,£29.99,Acrylic,1.0,NaN,0.0
Vero Moda floral stripe jumper in cream ,£29.99,Polyester,0.78,Acrylic,0.22
Urban Bliss Plus relaxed jumper with turned cuff in cobalt blue,£29.99,Polyester,0.75,Acrylic,0.22
& Other Stories wool blend off the shoulder knitted jumper in mole,£29.99,Wool,0.85,Polyamide,0.14
Y.A.S zip neck jumper in pink,£29.99,Viscose,0.52,Polyester,0.26
The Frolic Maternity soft ribbed cardigan co-ord in purple,£29.99,Polyester,0.64,Polyamide,0.36
 ASOS DESIGN Petite co-ord jumper with ruched front in black,£29.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN Petite cardigan with collar in green,£29.99,Acrylic,1.0,NaN,0.0
Vero Moda Petite slouchy knitted jumper with wide sleeves in black,£29.99,Viscose,0.5,Acrylic,0.25
ASOS DESIGN knitted ballet shrug cardi in cream,£29.99,Acrylic,0.66,Cotton,0.34
Topshop knitted zebra oversized jumper in orange,£29.99,Acrylic,1.0,NaN,0.0
Cotton:On boyfriend cardigan in sand,£29.99,Cotton,1.0,NaN,0.0
& Other Stories wool asymmetric button cardigan in off white,£29.99,Wool,0.62,Cotton,0.2
Topshop knitted tie front crochet stitch cardigan in rust,£29.99,Polyester,1.0,NaN,0.0
Urban Revivo diamond check knitted collar cardigan in pink ,£29.99,Polyester,0.55,Viscose,0.35
Pull&Bear cropped zip front jersey cardigan co-ord in brown,£29.99,Cotton,0.51,Polyester,0.46
Vero Moda oversized roll neck jumper in navy and cream stripe ,£29.99,Polyester,1.0,NaN,0.0
Stradivarius roll neck knit top in beige,£29.99,Viscose,0.7,Nylon,0.3
Bershka corset detail cropped jumper in grey,£29.99,Cotton,0.83,Polyester,0.14
ASOS DESIGN Tall jumper in sheer ladder rib stitch in camel,£29.99,Acrylic,0.5,Viscose,0.5
ASOS DESIGN crew neck jumper with checkerboard pattern,£29.99,Acrylic,1.0,NaN,0.0
Vila checked cardigan with pearl buttons in mono,£29.99,Acrylic,0.68,Polyester,0.3
Urban Revivo oversized striped dad jumper in green multi,£29.99,Polyester,0.51,Acrylic,0.26
& Other Stories cable knit jumper in wool blend ,£29.99,Wool,0.55,Cotton,0.45
Urban Revivo open collar zip through cropped knit cardigan in black,£29.99,Viscose,0.41,Polyamide,0.35
Levi's cardigan in blue yellow stripe,£29.99,Polyamide,1.0,NaN,0.0
Y.A.S crochet button through cardigan in green ,£29.99,Polyester,0.5,Acrylic,0.28
Object wrap jumper with cutwork detail in brown,£29.99,Viscose,0.5,Polyester,0.28
Stradivarius crochet cropped cardigan with heart embroidery in pink ,£29.99,Cotton,1.0,NaN,0.0
Urban Bliss Plus balloon sleeve knitted jumper in oatmeal,£29.99,Acrylic,0.59,Polyester,0.38
I Saw It First Plus seam detail jumper in brown,£29.99,Acrylic,1.0,NaN,0.0
Annorlunda laddered fine gauge cardigan in hot chocolate,£29.99,Acrylic,1.0,NaN,0.0
Only cable knit pom pom trim jumper in rose pink,£29.99,Acrylic,0.77,Polyester,0.23
River Island knit waistcoat in silver,£29.99,Acrylic,0.61,Nylon,0.2
ASOS DESIGN high neck jumper in chunky cable knit in pink,£29.99,Acrylic,1.0,NaN,0.0
Object knitted wrap cardigan with buckle detail in black,£29.99,Viscose,0.5,Nylon,0.27
JJXX crew neck jumper in bright orange,£29.99,Viscose,0.8,Nylon,0.18
ASOS DESIGN boyfriend cardigan with button front in stripe ,£29.99,Polyester,0.48,Nylon,0.4
River Island spliced front ribbed jumper in dark green,£29.99,Acrylic,0.64,Polyurethane,0.24
Yours oversized crew neck jumper in cream,£29.99,Acrylic,0.62,Polyester,0.32
ASOS DESIGN Petite polo jumper with open stitch in cream,£29.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN knitted tie front shrug cardigan in black,£29.99,Acrylic,0.66,Cotton,0.34
Urban Bliss sweetheart neckline knitted top with button detail in yellow,£29.99,Viscose,0.77,Polyester,0.23
Vero Moda Tall v neck knitted ribbed jumper in cream,£29.99,Viscose,0.5,Acrylic,0.25
Y.A.S off the shoulder knitted jumper in black,£29.99,Polyester,0.97,Wool,0.03
Native Youth Plus oversized jumper with double neckline in green,£45.00,Acrylic,1.0,NaN,0.0
Violet Romance cardigan with contrast trims in pink,£45.00,Acrylic,1.0,NaN,0.0
 M Lounge slouchy v neck jumper in rose blush,£45.00,Acrylic,0.68,Polyester,0.3
Pull&Bear open knit oversized jumper in black,£45.00,Cotton,0.62,Acrylic,0.38
Mango round neck ribbed long sleeve jumper in black,£45.00,Viscose,0.72,Polyamide,0.28
Tommy Jeans badge logo cable knit cardigan in blue,£45.00,Acrylic,0.5,Polyester,0.5
Monki high neck jumper in forest green,£45.00,Polyester,0.55,Acrylic,0.45
ASOS DESIGN jumper with volume sleeve and textured stitch in cream,£45.00,Acrylic,0.8,Polyester,0.2
Topshop knitted cropped roll neck jumper in pink,£45.00,Polyester,0.66,Acrylic,0.16
Mango button detail jumper in light beige,£45.00,Polyester,0.62,Acrylic,0.19
ASOS DESIGN Tall boxy crew neck jumper in oatmeal,£45.00,Acrylic,0.55,Polyamide,0.2
Weekday Sway cardigan in off white melange,£45.00,Polyester,0.42,Polyamide,0.27
Topshop knitted animal maxi cardi in monochrome,£45.00,Polyester,0.57,Acrylic,0.36
& Other Stories wool blend wrap cardigan in white,£45.00,Wool,0.39,Mohair,0.32
Monki tonal blue jacquard knitted sweater,£45.00,Cotton,1.0,NaN,0.0
Mamalicious Maternity ribbed knit jumper in cream,£45.00,Polyester,0.79,Acrylic,0.13
Topshop knitted cut out detail  top in black,£45.00,Polyester,1.0,NaN,0.0
ASOS DESIGN jumper in open stitch in cream,£45.00,Acrylic,0.88,Nylon,0.12
Mango fringe detail jumper in cream,£45.00,Acrylic,0.52,Polyester,0.28
Monki knitted v-neck button up polo collar sweater in light beige,£45.00,Polyester,0.9,Wool,0.08
Only v neck jumper in dark green marl,£45.00,Acrylic,0.74,Polyester,0.24
Tommy Jeans knit zip through sweater in black,£45.00,Polyester,0.78,Polyamide,0.22
Reclaimed Vintage slim laddered cardigan in black,£45.00,Acrylic,1.0,NaN,0.0
Tommy Jeans Plus boxy flag sweater in white,£45.00,Acrylic,0.5,Polyester,0.5
ASOS DESIGN knitted top with plunge notch neck in dark red,£45.00,Viscose,0.79,Polyester,0.21
Abercrombie & Fitch knitted crew neck jumper in yellow ,£45.00,Polyester,0.51,Nylon,0.36
ASOS DESIGN jumper with cut out and knot front detail in black,£45.00,Viscose,0.68,Polyamide,0.32
ASOS DESIGN Petite cardigan with mini cable and frill detail in blue,£45.00,Viscose,0.47,Polyester,0.3
ASOS DESIGN Petite boxy jumper with high neck in cream ,£45.00,Polyester,0.51,Acrylic,0.46
& Other Stories fluffy cropped sweater in black,£45.00,Polyester,0.93,Viscose,0.07
Topshop knitted longline jumper with collar,£45.00,Acrylic,0.56,Nylon,0.44
Weekday Aggie turtle neck knitted sweater in cream,£45.00,Polyamide,0.48,Polyester,0.42
Monki Libby high neck jumper in off white knit,£45.00,Acrylic,1.0,NaN,0.0
Monki long knit cardigan in multi bow jacquard print,£45.00,Cotton,1.0,NaN,0.0
ASOS DESIGN Petite neat fit cardigan twin set co-ord in blue,£45.00,Acrylic,0.8,Polyester,0.2
ASOS DESIGN Curve jumper with Looney Tunes pattern in green,£45.00,Acrylic,1.0,NaN,0.0
Yours oversized knitted jumper in navy stripe,£45.00,Acrylic,1.0,NaN,0.0
Miss Selfridge balloon sleeve pocket maxi cardigan in oatmeal ,£45.00,Polyester,0.58,Acrylic,0.38
Monki high neck knitted jumper in rainbow wavy stripe jacquard,£45.00,Polyester,0.52,Acrylic,0.41
Topshop knitted fluffy v-neck wide rib cardigan in brown,£45.00,Polyester,0.76,Nylon,0.23
ASOS DESIGN premium chunky v neck oversized jumper in fluffy yarn in green,£45.00,Polyester,0.78,Acrylic,0.19
ASOS DESIGN jumper in sheer ladder rib stitch in blue,£45.00,Acrylic,0.5,Viscose,0.5
Mango v-neck long sleeve jumper in pink,£45.00,Viscose,0.5,Polyester,0.28
Monki knitted cardigan in oversized rust and beige check,£45.00,Polyester,0.97,Elastane,0.03
ASOS DESIGN tie front cardigan with ruffles in black,£45.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN open collar rib jumper in oatmeal ,£45.00,Polyester,0.51,Acrylic,0.46
Topshop knitted crew neck jumper in black,£45.00,Polyester,0.86,Acrylic,0.14
Pimkie oversized roll neck jumper in fuschia,£45.00,Acrylic,0.76,Polyester,0.16
Vila Curve v neck jumper with puff sleeved in mottled beige,£45.00,Polyester,0.61,Acrylic,0.33
Polo Ralph Lauren Julianna icon logo cotton cable knit jumper in outback green,£45.00,Cotton,1.0,NaN,0.0
Stradivarius soft touch cardigan in dark grey ,£45.00,Polyester,0.72,Acrylic,0.22
Mango button down cropped cardigan in pink print,£45.00,Acrylic,0.53,Polyester,0.39
Topshop knitted longline exposed seam fluffy crew neck jumper in oat,£45.00,Polyester,0.7,Nylon,0.21
Vero Moda Tall colourblock knitted jumper in neutrals,£45.00,Viscose,0.5,Polyester,0.28
Guess Originals bear logo jumper in black,£45.00,Viscose,0.5,Polyester,0.28
Urban Revivo mock neck jumper in white,£45.00,Viscose,0.82,Polyamide,0.16
ASOS DESIGN knitted top in distressed stitch with cross over strap detail in black,£45.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN bardot jumper with hot fix diamante detail in pink,£45.00,Acrylic,1.0,NaN,0.0
Whistles knitted wool jumper in bright orange,£45.00,Wool,1.0,NaN,0.0
Topshop Tall knitted crew neck jumper in orange,£45.00,Polyester,0.86,Acrylic,0.14
Bershka high neck stripe jumper in beige,£45.00,Acrylic,0.44,Polyamide,0.31
Vero Moda Curve lettuce edge long sleeved top in cream with black tipping,£45.00,Viscose,0.52,Polyester,0.28
Hollister floral print cardigan in green ,£45.00,Cotton,0.53,Acrylic,0.36
Pieces jumper with diamante buttons in green,£45.00,Polyester,1.0,NaN,0.0
Abercrombie & Fitch tank and cardigan twin set in cream ,£45.00,Cotton,0.6,Nylon,0.2
Monki knitted jumper in black and white stripe,£45.00,Polyester,0.97,Wool,0.03
COLLUSION Unisex knitted zip through jumper in tonal blue,£45.00,Acrylic,1.0,NaN,0.0
Monki cut-out cropped knitted jumper in black,£45.00,Viscose,0.72,Polyamide,0.28
ASOS DESIGN open stitch hem jumper in purple,£45.00,Acrylic,0.75,Cotton,0.25
Noisy May high neck jumper in dark grey,£45.00,Acrylic,0.74,Polyester,0.26
Pimkie horizontal stripe cable knit jumper in mono,£45.00,Acrylic,0.76,Polyester,0.16
Labelrail x Pose and Repeat fitted cardigan in multi pastel stripe,£45.00,Acrylic,0.9,Polyester,0.1
People Tree hand knitted crochet sleeveless cardigan,£45.00,Cotton,1.0,NaN,0.0
Monki chunky knitted polo neck jumper in blue,£45.00,Polyester,0.5,Acrylic,0.4
Weekday Ellen v-neck sweater in brown,£45.00,Polyamide,0.48,Polyester,0.42
& Other Stories crew neck knitted sweater in green,£45.00,Cotton,0.54,Polyamide,0.38
Weekday Emmy high neck jumper in charcoal ,£45.00,Polyester,0.57,Cotton,0.38
Weekday Annie jumper in brown,£45.00,Polyester,1.0,NaN,0.0
ASOS DESIGN longline jumper in open stitch in green,£45.00,Acrylic,0.75,Nylon,0.25
Reclaimed Vintage unisex aztec knitted jumper,£45.00,Acrylic,1.0,NaN,0.0
Vero Moda Tall volume sleeve jumper in green,£45.00,Viscose,0.5,Polyester,0.28
& Other Stories wool blend argyle sweater in black and off white,£45.00,Wool,1.0,NaN,0.0
Monki ribbed cardigan in green,£45.00,Viscose,0.72,Polyamide,0.28
ASOS DESIGN one shoulder jumper in cable in cream,£45.00,Acrylic,0.86,Polyamide,0.07
ASOS DESIGN jumper in swirl pattern in fluffy yarn in pink and red,£45.00,Nylon,0.73,Acrylic,0.27
Object long sleeve knitted top co-ord in oatmeal,£45.00,Viscose,0.5,Nylon,0.27
New Look striped double tie front cardi with lettuce edge in brown,£45.00,Polyester,0.81,Viscose,0.16
adidas Originals 'ski chic' rib track top with fluffy trims in oatmeal ,£45.00,Cotton,1.0,NaN,0.0
Daisy Street Plus relaxed knitted jumper in pink green space dye,£45.00,Polyester,1.0,NaN,0.0
Vila Curve frill detail wrap cardigan in green,£45.00,Viscose,0.48,Polyester,0.27
Urban Revivo knitted vest with strawberry motif,£45.00,Viscose,0.63,Polyamide,0.37
Lacoste long sleeve t-shirt with large logo in blue,£45.00,Cotton,1.0,NaN,0.0
& Other Stories wool crochet vest in orange,£45.00,Wool,0.34,Viscose,0.25
ASOS DESIGN edge to edge cardigan in crochet open stitch in cream,£45.00,Acrylic,0.51,Cotton,0.49
ASOS DESIGN high neck jumper in fluffy yarn in pink,£45.00,Polyester,0.75,Acrylic,0.22
Topshop Tall knitted crop jumper in mink,£45.00,Polyester,0.58,Acrylic,0.38
