datetime,temp,humidity,precip
2020-06-25,22.9,62.1,0
2020-06-26,20.3,74.7,2.472
2020-06-27,15.1,88,15.019
2020-06-28,12.9,79.2,2.42
2020-06-29,12.2,87,2.563
2020-06-30,13.9,83.7,3.017
2020-07-01,14.9,86.6,1.012
2020-07-02,13.7,90.9,8.304
2020-07-03,13.8,88,3.134
2020-07-04,16.1,88.8,1.667
2020-07-05,14.6,75.9,1.597
2020-07-06,13.4,76.8,5.291
2020-07-07,12.1,90.7,6.949
2020-07-08,13,93.1,2.929
2020-07-09,12.7,92.9,26.52
2020-07-10,12.8,82.2,3.191
2020-07-11,12.7,76.6,0
2020-07-12,13.6,72.9,0
2020-07-13,15.4,80.1,0.098
2020-07-14,13.6,81.7,0
2020-07-15,13.5,94,0.873
2020-07-16,15.8,89.7,0.063
2020-07-17,18,78.8,0
2020-07-18,15.3,91.7,5.277
2020-07-19,13.1,77.8,0.051
2020-07-20,12,77.8,0
2020-07-21,12.9,78.7,0
2020-07-22,14.7,78.4,0.055
2020-07-23,15.4,85.1,1.646
2020-07-24,16.7,81.7,0.164
2020-07-25,16.5,86.4,2.661
2020-07-26,15.7,77.5,0.392
2020-07-27,14.9,88.8,8.343
2020-07-28,13.7,76.4,0.264
2020-07-29,14.6,72.9,0.145
2020-07-30,17.7,74.9,1.23
2020-07-31,21,66.5,0
2020-08-01,15.7,81.6,0.333
2020-08-02,14.9,76.1,0.032
2020-08-03,13.8,77.4,0.676
2020-08-04,13.2,84.6,0.42
2020-08-05,18.3,82.9,6.894
2020-08-06,19.1,83.4,0.062
2020-08-07,20.8,82.2,0.027
2020-08-08,19.3,79.8,0
2020-08-09,17.5,79.6,0
2020-08-10,20,78.3,0.141
2020-08-11,21.9,81,1.205
2020-08-12,22.8,78.3,3.061
2020-08-13,19.4,85.3,2.166
2020-08-14,18.5,82,0.028
2020-08-15,17,81.8,0
2020-08-16,16.2,89.6,2.546
2020-08-17,16.3,90.8,11.431
2020-08-18,17.1,85,10.276
2020-08-19,17.1,93.5,1.576
2020-08-20,18.2,69.6,4.331
2020-08-21,16.5,82,7.031
2020-08-22,15.5,83.7,7.128
2020-08-23,14.9,89.3,6.846
2020-08-24,15,75.7,1.427
2020-08-25,15.1,92.9,21.033
2020-08-26,14.9,88.9,11.923
2020-08-27,12.4,93.6,5.886
2020-08-28,12.1,88.9,11.734
2020-08-29,10.7,80.8,1.09
2020-08-30,10,77.3,0
2020-08-31,10.6,76.9,0
2020-09-01,13.9,72.8,0
2020-09-02,13.5,85.3,8.597
2020-09-03,16.2,84.3,4.928
2020-09-04,13.7,76.5,0.03
2020-09-05,12.8,81.3,0.192
2020-09-06,13.5,85.3,3.679
2020-09-07,13.8,91.8,0.512
2020-09-08,18.2,89.2,0.345
2020-09-09,15.2,80.9,0.785
2020-09-10,11.4,82.6,0.009
2020-09-11,13.5,78.3,0
2020-09-12,14.2,77,0.878
2020-09-13,17.1,77.7,0
2020-09-14,16.9,79.5,0
2020-09-15,17.8,78.7,0
2020-09-16,14.7,88.7,0.269
2020-09-17,14.1,74.3,0.019
2020-09-18,11.6,79.8,0
2020-09-19,13.4,76.4,0
2020-09-20,12.6,79.9,0
2020-09-21,12.3,84.9,0
2020-09-22,14.1,87.4,0
2020-09-23,12.2,91.2,5.151
2020-09-24,8.9,84.1,3.999
2020-09-25,9.2,75.1,0.317
2020-09-26,7.9,74.8,0.527
2020-09-27,8.3,76.6,0
2020-09-28,8.7,91.4,0.049
2020-09-29,11.4,85.9,0.602
2020-09-30,11,91.5,8.814
2020-10-01,9.7,86.1,0.991
2020-10-02,10.3,85.5,0.451
2020-10-03,11.1,96.6,22.662
2020-10-04,11,88.4,16.815
2020-10-05,11.8,92.4,8.619
2020-10-06,10.8,93.3,10.371
2020-10-07,11,85.4,2.511
2020-10-08,10.4,91.6,13.916
2020-10-09,8.3,87.7,3.845
2020-10-10,9.4,90.7,8.908
2020-10-11,8.4,85.6,0.112
2020-10-12,8.9,92.6,1.217
2020-10-13,8.1,93,2.849
2020-10-14,10.3,86.9,0.239
2020-10-15,7.7,87.7,0.351
2020-10-16,8.9,84.3,0.211
2020-10-17,8.1,92.5,0.346
2020-10-18,8.9,92,0.079
2020-10-19,10.1,82.7,0
2020-10-20,13.3,82.4,1.389
2020-10-21,13.1,93.2,2.371
2020-10-22,9.6,82.4,0.316
2020-10-23,7.7,84.8,2.94
2020-10-24,9.5,89.9,14.756
2020-10-25,8.1,85.2,1.114
2020-10-26,8.5,89,3.503
2020-10-27,7.9,90.8,2.254
2020-10-28,7.9,83.5,0.525
2020-10-29,10.4,90.4,7.636
2020-10-30,11.6,93.5,1.179
2020-10-31,11.9,83.9,1.585
2020-11-01,12,85.2,3.142
2020-11-02,10.7,82.9,9.547
2020-11-03,5.9,87.1,6.528
2020-11-04,5,92.8,1.483
2020-11-05,7.7,92,0.026
2020-11-06,7.6,89.9,0.174
2020-11-07,6.8,91.7,0.009
2020-11-08,9.7,96.7,1.561
2020-11-09,11.6,96.7,0.935
2020-11-10,11.4,91,0.275
2020-11-11,10.8,87.8,0.17
2020-11-12,9.7,84.6,2.356
2020-11-13,8.8,84.4,2.098
2020-11-14,10.6,89.5,5.217
2020-11-15,9.3,84.3,1.731
2020-11-16,9.9,87.4,6.059
2020-11-17,13.2,86.1,0.949
2020-11-18,10.8,81.4,3.098
2020-11-19,6.3,82.6,8.211
2020-11-20,7.4,90.9,0.967
2020-11-21,10.2,87.3,1.659
2020-11-22,6.6,81.8,0.249
2020-11-23,5.7,89.6,0.474
2020-11-24,10.5,84.7,0.009
2020-11-25,6.9,93.2,2.743
2020-11-26,5.2,93.2,0.033
2020-11-27,3.6,92.1,0.01
2020-11-28,4.7,96.8,1.617
2020-11-29,7.4,98.7,0.172
